index,text
0,Always late. Left me in a bad situation more than once. Most recently ran out of medicine and left messages with office and answering service. Over a week and no call back. Thank goodness for Aetna or I still would be without medicine. Very neglectful and have an attitude when they make a mistake. Unresponsive. Put me at risk.  Don go to him.
1,"Truly, I hate to only give Dr. Sanders one star. I don't believe he himself deserves such a low rating. But his office.... just, wow. Wow.

Roughly in July, I went to Dr. Sanders at Texas Interventional Pain Specialist for the first time. For crying out loud, he knocked my socks off. Was personable, understanding, intelligent, and compassionate. Everything I had been hoping to find in a pain doctor. At the time I was being prescribed my pain medication by my Primary Care and no one exactly knew what was wrong with me. I have like 13 different medical conditions, we know that, but what is causing all of them? What is causing all of this pain? Joints, muscles, back, nerves, bones, my very skin...everything hurt. All the time. Everywhere. Dr. Sanders empathized and said he was going to do everything he could to figure out the root problem. I damn near cried, hearing that. He told me that he didn't feel comfortable giving me medication while there were so many records of mine he didn't have and that my Primary Care should continue to do it. In the meantime, he wanted my records and referred me to see a couple of other doctors because he had some ideas. Good ideas, too. I left, very happy.

I saw the other doctors and made myself an appointment to see him again, while getting pain medication from my Primary Care. He still didn't have the records he requested and the visit was non productive. He still didn't have enough information. Okay, I understand and can work with that. He told me he would keep trying to get the records, I said I would try to get them as well, and that when he got them that he would call me. That coming in for an appointment before he got them would be pointless and to wait until he got in touch. Well, I left and requested the records be sent again. Then things started to slip. I was getting my medication elsewhere, told not to come in, and told that things were in motion. I got a new job that I loved and got very busy and just waited for Dr. Sanders to call. I'll be honest, about 3 months passed. I should have called them, should have been more on top of it, should have ect. But I didn't. I was distracted and stressed out. Things started getting flaky at work. My pain shot up and I was missing hours due to it. My Primary Care told me he couldn't help any further with the medication and that Dr. Sanders would have to take it over if something were to be done. So, with my job and ""life"" on the line, I called Dr. Sanders in January and made an appointment. I truly felt like I had everything riding on that appointment. The day of, I got a message telling me that since Dr. Sanders had not gotten any records that my appointment was unnecessary and canceled. I was not okay with this and I called back to have it put back on the schedule. This time I was told that because I hadn't seen the doctor in a few months, I was cut as a patient. And unfortunately they were not accepting new patients for the new year. So...not only did I lose my appointment...I completely had no pain doctor. I didn't say a word, just hung up. 

I'm not going to lie; I snapped. I was under an unreasonable amount of stress, I was in pain, and I felt like I was losing my job and everything else with it. That is not Dr. Sanders fault. But it was the last straw for me. To make a very long story short, I lost it, was going to kill myself, was involuntarily committed to a mental hospital, and was held there for a week.  While I did not blame Dr. Sanders for the breakdown and my mental state, I did want answers as to what the hell had happened. Believe me, I had plenty of time to think about it in the psych ward. Why was I suddenly cut off as a patient? Why did I lose a great pain doctor? Why did no one TELL me? So I called. Perfectly calm, I wound up speaking to the ""office manager"" (or something of the like) and his name was Charles. I explained what had happened. I also wanted them to know that suddenly cutting off a pain patient who is in a great deal of pain can have serious consequences. Not just mine but it could cause a LOT of problems, suddenly losing your doctor with no warning. So I asked Charles. The conversation was very disappointing. Charles kept trying to turn it around into completely my fault. ""You weren't here for three months"". Yes, but Dr. Sanders told me not to come in until he said I should. ""Technically, you were never brought into the practice. Those visits you had were just consults"". Okay...why was I not told? And why was he referring me to other doctors and ordering test like a doctor if he wasn't my doctor?  ""Your primary care was prescribing you medication and two doctors can't do that at that at the same time"". How am I supposed to know that? And why did he tell me to do it that way? And on and on. His final defense: ""Well, we see like 30 patients a day"". Yeah...not good enough."
2,After being in pain for a decade I literally walked out of this office on my way to being pain free. The entire office is filled with wonderful caring and fun folks. Their concern is getting patients feeling better!
3,"After discovering a lump in my breast, my OBGYN sent me to a breast specialist. My first couple visits with Dr, Steinhaus were pleasant considering. (Even though the first visit I was left waiting for quite some time.) I was relieved that my lump was just a cyst. Thankfully after my last visit, Dr. Steinhaus told me I was fine and to return in one year for a check up. That was October 2013. Last night my door bell rang at 7:00 at night with a certified letter. (To which was an exact copy of the two letters sitting in my mailbox that day). The letter was from Breast Care Specialists and signed by Dr. Steinhaus stating that ""They will no longer provide me medical care because I have not scheduled my follow up and/or biopsy."" Wow!! I was told to come back in Oct 2014, and that everything was fine. Additionally, they sent this letter to my OBGYN from whom I also received a call from questioning my lack of care/follow up for myself. Kudos to my OBGYN for following up to the ridiculous threat from Breast Care Specialist. But what a shame to Breast Care Specialists for not only wasting their time and money on these bullying letters, but also for wasting the time of my OBGYN to have to follow up on a bogus accusation. 

Breast Care Specialists, don't you worry.....I will not be returning to your facility for any type of care and will be sure to tell every woman I know of my experience with Breast Care Specialist. 

Disappointed in the service of medical care from Breast Care Specialist in Atlanta!"
4,"I've been going to this office for a couple of years now and have had a positive experience. I've had to go back in one for a filling that popped out right after the procedure, and they were quick to get it fixed the next day with no charges. I like that they have an email / texting reminder service. I'm about to starting taking my young children here, and we'll see how they handle that! They might just earn that final star if they survive my kids."
5,"Dr. Beisel has a telephone screener in order to pick and choose her patients based upon method of payment ( cash strongly preferred, most insurance rejected ) , even though she is listed as taking insurance from numerous companies.  $330 for 1st visit.  Read the other reviews, no sense in repeating the nightmares.  Happy Halloween."
6,"Amazing place. BETTER EMPLOYEES 

I had great service during my check up. When i received a call that my glasses were Ready for pick up, I noticed that I wouldn't get off work until after they close. One of the employees stood 35 minutes after they closed for me to pick up my glasses and said "" it is no problem, we look out for our people."" If that isn't that BEST service, I don't know what it is. Thank you Fisher Eye Associates !!"
7,"I could not be more displeased with this business. I first saw Dr. Zina (spelling?) a year ago, and she replaced the bonding on my front top tooth. She made my normal white tooth into a small brownish baby tooth that's very different than all of my other teeth. Since her first attempt had broken and I was on my third appointment for the same issue, I decided to deal with it. 

I came back today about a year later and saw Dr. Lin. He told me that I need a few fillings and adult braces. In fact he said that the brown baby tooth is my fault due to grinding my teeth, and that the only way to fix the issue is to go to an orthodontist. 

When I went to make my next appointment to fill a cavity, the woman working the front desk demands a $50 payment in advance (cash or credit only) before I am allowed to make an appointment. Really? Then she gave me the referral card to an orthodontist in Waltham. I asked for an orthodontist in Allston/Brighton or even Boston, and the genius woman actually told me that there are no orthodontists within the city of Boston. Really?!? She must have an IQ of 160. 

I asked for a manager's name and email so that I may follow up as both the prepayment for services not rendered and their referral to the Waltham orthodontist really bothered me, and she refused to give me the manager's last name  or email address. This is for ""privacy"", she said. I run an office for a living, and if someone has a complaint I take it seriously. If I ever refused to give someone my email address or last name I should not be in my position. I am going to call my insurance company tomorrow to ensure that they're not charging for procedures that I am not having done.  In fact I plan on paying $30 for X-rays and the cost of a new appointment with another dentist rather than pay them in advance. 

I would seek an appointment elsewhere. The half hour of crappy news on a flat screen is not worth it."
8,"I switched dentists because my other one was incredibly overpriced and wanted to charge me ~$600 for two fillings. 

I went here and not only was the service fantastic, the dental assistant Marion was so lovely. She was really quick, and hooked me up with
some samples and my teeth were so clean. I'm going back next week to get my cavities filled, and would you look at that it's entirely affordable and reasonably priced. 

Really lovely place. Will definitely return."
9,My doctor is pretty good. I got lucky with Dr Krienke. But.... I went in for some testing with a specialist and was charged for a procedure that I thought was covered. I disputed the charge and it went into review. I received constant bills in the mail and called the billing dept. each time. I was informed that there is no problem and to wait for the verdict from the insurance company. I got the verdict and the insurance company would not cover it. So I went to the clinic and paid in person. Now I am being harassed by a collection agency for a bill that I paid in full.  My perfect credit rating which comes in pretty handy in our culture is now suspect because of the basic incompetence of there billing dept. I would advise not using ARC. It is just not worth it.
